Name,IsRandom, NumberFrame, Infor
41,False, 1,(-2.261935;59.18844;0); (0.2226317;1;0;1)
42,False, 1,(-2.261935;53.93844;0); (0.2226317;1;0;1)
43,False, 1,(-2.261935;48.21844;0); (0.2226317;1;0;1)
44,False, 1,(0.788064;59.87843;0); (0.2226317;1;0;1)
45,False, 1,(2.718065;55.93844;0); (0.2226317;1;0;1)
46,False, 1,(4.868065;52.14844;0); (0.2226317;1;0;1)
47,False, 1,(7.538065;48.28844;0); (0.2226317;1;0;1)
48,False, 1,(7.538065;53.41843;0); (0.2226317;1;0;1)
49,False, 1,(7.538065;58.96844;0); (0.2226317;1;0;1)
50,False, 1,(7.538065;63.65844;0); (0.2226317;1;0;1)
51,False, 1,(16.96807;63.65844;0); (0.2226317;1;0;1)
52,False, 1,(21.27806;63.58844;0); (0.2226317;1;0;1)
53,False, 1,(14.36806;59.72844;0); (0.2226317;1;0;1)
54,False, 1,(14.36806;55.93844;0); (0.2226317;1;0;1)
55,False, 1,(14.36806;52.14844;0); (0.2226317;1;0;1)
56,False, 1,(16.74806;48.43844;0); (0.2226317;1;0;1)
57,False, 1,(21.35806;48.43844;0); (0.2226317;1;0;1)
58,False, 1,(23.80806;52.29844;0); (0.2226317;1;0;1)
59,False, 1,(20.52806;52.43844;0); (0.2226317;1;0;1)
60,False, 1,(-33.00194;41.37844;0); (0.2226317;1;0;1)
61,False, 1,(-33.00194;37.75844;0); (0.2226317;1;0;1)
62,False, 1,(-33.00194;33.80844;0); (0.2226317;1;0;1)
63,False, 1,(-33.00194;29.85844;0); (0.2226317;1;0;1)
64,False, 1,(-33.00194;26.06844;0); (0.2226317;1;0;1)
65,False, 1,(-28.87194;26.95844;0); (0.2226317;1;0;1)
66,False, 1,(-25.58194;29.56844;0); (0.2226317;1;0;1)
67,False, 1,(-24.05194;33.64844;0); (0.2226317;1;0;1)
68,False, 1,(-25.22194;37.68844;0); (0.2226317;1;0;1)
69,False, 1,(-28.30194;40.25844;0); (0.2226317;1;0;1)
70,False, 1,(-17.56194;41.21844;0); (0.2226317;1;0;1)
71,False, 1,(-17.56194;35.35844;0); (0.2226317;1;0;1)
72,False, 1,(-17.56194;29.90844;0); (0.2226317;1;0;1)
73,False, 1,(-15.36194;26.22844;0); (0.2226317;1;0;1)
74,False, 1,(-10.91194;26.22844;0); (0.2226317;1;0;1)
75,False, 1,(-8.711935;29.79844;0); (0.2226317;1;0;1)
76,False, 1,(-8.711935;35.28844;0); (0.2226317;1;0;1)
77,False, 1,(-8.711935;41.31844;0); (0.2226317;1;0;1)
78,False, 1,(3.478064;41.31844;0); (0.2226317;1;0;1)
